account_id,account_creation_date,account_frequency,loan_amount,loan_duration,loan_status,client_id,client_birth_year,client_gender,client_region,urban_inhabitants,average_salary,unemployment_rate_1995,unemployment_rate_1996,transaction_total,transaction_type,credit_card_type,order_total_amount
2,4446-11-13,"POPLATEK MESICNE",80952,24,"No problems",2,1945-02-04,Male,Prague,100,12541,0,0,42672,Credit,"No Card",21278
2,4446-11-13,"POPLATEK MESICNE",80952,24,"No problems",3,1940-10-09,Female,Prague,100,12541,0,0,42672,Credit,"No Card",21278
9,4446-08-06,"POPLATEK MESICNE",0,0,"No Loan",12,1981-02-20,Male,"north Bohemia",85,9317,6,7,12905,Credit,"No Card",0
15,4448-12-28,"POPLATEK MESICNE",0,0,"No Loan",20,1979-01-04,Male,"east Bohemia",74,8369,2,2,0,"No Transactions","No Card",3072
18,4447-09-09,"POPLATEK TYDNE",0,0,"No Loan",24,1939-07-29,Female,"east Bohemia",76,9425,2,3,0,"No Transactions","No Card",0
23,4447-09-05,"POPLATEK MESICNE",0,0,"No Loan",29,1951-09-11,Female,"west Bohemia",82,9650,3,4,0,"No Transactions","No Card",5807
26,4448-06-17,"POPLATEK MESICNE",0,0,"No Loan",32,1980-07-28,Male,"east Bohemia",62,8363,3,3,0,"No Transactions","No Card",10387
27,4448-10-13,"POPLATEK MESICNE",0,0,"No Loan",33,1948-12-04,Female,"north Moravia",56,8746,3,4,0,"No Transactions","No Card",4054
33,4448-07-05,"POPLATEK MESICNE",0,0,"No Loan",41,1968-08-27,Male,"west Bohemia",52,8620,1,1,0,"No Transactions",gold,3892
34,4448-10-04,"POPLATEK TYDNE",0,0,"No Loan",42,1935-08-17,Male,"north Moravia",57,9893,4,5,0,"No Transactions",classic,8051
35,4448-03-08,"POPLATEK MESICNE",0,0,"No Loan",43,1920-10-28,Male,"north Moravia",65,8819,5,6,0,"No Transactions","No Card",2384
36,4448-03-02,"POPLATEK MESICNE",0,0,"No Loan",44,1977-01-11,Female,"north Bohemia",60,8965,7,8,0,"No Transactions","No Card",4069
39,4448-10-09,"POPLATEK MESICNE",0,0,"No Loan",47,1934-07-14,Male,"north Moravia",51,8369,5,6,0,"No Transactions","No Card",3115
40,4449-01-20,"POPLATEK MESICNE",0,0,"No Loan",48,1940-02-09,Male,"south Bohemia",57,8427,1,2,0,"No Transactions","No Card",4334
44,4447-08-24,"POPLATEK MESICNE",0,0,"No Loan",52,1924-12-12,Male,"north Bohemia",81,9272,3,3,0,"No Transactions","No Card",2344
